Parametros;Precisao;Revocacao;F1-Score;Tempo
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9803;0.8595;0.9159;0.6709
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9803;0.8725;0.9233;0.9024
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9803;0.8722;0.9231;0.9261
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9803;0.8722;0.9231;0.9644
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9803;0.8722;0.9231;0.9746
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9803;0.8710;0.9224;1.0560
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9808;0.8690;0.9215;1.1771
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9810;0.8645;0.9191;1.3220
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9809;0.8602;0.9166;1.4574
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9816;0.8520;0.9122;1.6135
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9814;0.8455;0.9084;1.7522
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9816;0.8395;0.9050;1.9549
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9820;0.8335;0.9017;2.1054
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9828;0.8273;0.8983;2.3090
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9903;0.7378;0.8456;4.0864
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9947;0.6520;0.7877;5.7711
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9973;0.5540;0.7123;7.4710
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9984;0.4660;0.6354;9.0481
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9986;0.3605;0.5298;10.6578
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9981;0.2645;0.4182;12.2358
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9972;0.1797;0.3046;13.5121
Metal_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0845;0.1558;14.9587
