Parametros;Precisao;Revocacao;F1-Score;Tempo
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9767;0.9125;0.9435;0.7939
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9761;0.9185;0.9464;0.9576
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9758;0.9187;0.9464;0.9737
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9758;0.9190;0.9466;1.0313
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9758;0.9187;0.9464;1.0368
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9752;0.9160;0.9447;1.1137
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9770;0.9133;0.9440;1.2065
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9773;0.9052;0.9399;1.3158
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9782;0.8992;0.9371;1.4522
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9794;0.8920;0.9337;1.6210
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9806;0.8822;0.9288;1.8046
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9821;0.8768;0.9264;2.0283
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9836;0.8688;0.9226;2.2334
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9854;0.8610;0.9190;2.3917
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9926;0.7752;0.8706;4.0388
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9927;0.6810;0.8078;5.7306
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9936;0.5785;0.7312;7.3944
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9954;0.4820;0.6495;9.0803
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9968;0.3932;0.5640;10.8057
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9992;0.2968;0.4576;12.3495
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.2042;0.3392;13.6531
Musical_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0980;0.1785;15.1784
