Parametros;Precisao;Revocacao;F1-Score;Tempo
War_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.8328;0.9103;0.8698;0.8464
War_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.8198;0.9203;0.8671;1.1602
War_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.8206;0.9205;0.8677;1.1802
War_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.8195;0.9203;0.8669;1.2393
War_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.8196;0.9200;0.8669;1.2649
War_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.8195;0.9203;0.8669;1.2992
War_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.8219;0.9193;0.8678;1.3473
War_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.8238;0.9163;0.8676;1.4761
War_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.8280;0.9110;0.8675;1.6187
War_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.8326;0.9050;0.8673;1.7825
War_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.8375;0.8992;0.8673;1.9313
War_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.8435;0.8932;0.8677;2.0616
War_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.8483;0.8850;0.8663;2.2034
War_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.8529;0.8788;0.8657;2.4048
War_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9059;0.7850;0.8411;4.0671
War_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9307;0.7015;0.8000;5.8028
War_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9506;0.5960;0.7326;7.5622
War_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9613;0.5035;0.6609;9.0615
War_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9741;0.4130;0.5801;10.6146
War_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9817;0.3212;0.4841;12.0527
War_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9859;0.2275;0.3697;13.4841
War_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9904;0.1295;0.2291;14.9462
