Parametros;Precisao;Revocacao;F1-Score;Tempo
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9989;0.9223;0.9591;0.4376
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9989;0.9237;0.9599;0.4595
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9989;0.9235;0.9597;0.4889
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9989;0.9237;0.9599;0.5129
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9989;0.9230;0.9595;0.5514
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9989;0.9185;0.9570;0.6439
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9989;0.9045;0.9494;0.7721
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9989;0.8972;0.9453;0.8647
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9989;0.8840;0.9379;1.0168
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9989;0.8695;0.9297;1.1146
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9991;0.8518;0.9196;1.2799
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9991;0.8393;0.9122;1.4465
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9991;0.8280;0.9055;1.5754
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9991;0.8180;0.8995;1.7429
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9993;0.7035;0.8257;3.2239
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9992;0.6088;0.7566;4.6473
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9995;0.5120;0.6771;6.0553
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9994;0.4175;0.5890;7.4740
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9992;0.3227;0.4879;8.7946
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9989;0.2343;0.3795;10.0374
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.1253;0.2226;11.2141
Abortion_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0470;0.0898;12.4439
