Parametros;Precisao;Revocacao;F1-Score;Tempo
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,0001_scale;0.9848;0.9189;0.9507;0.5168
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,0005_scale;0.9846;0.9260;0.9544;0.7145
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,001_scale;0.9846;0.9263;0.9546;0.7524
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,005_scale;0.9846;0.9263;0.9546;0.7879
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,01_scale;0.9846;0.9263;0.9546;0.7993
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,02_scale;0.9846;0.9263;0.9546;0.8202
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,03_scale;0.9849;0.9240;0.9535;0.8845
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,04_scale;0.9854;0.9189;0.9510;0.9587
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,05_scale;0.9877;0.9141;0.9495;1.0299
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,06_scale;0.9898;0.9042;0.9450;1.1363
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,07_scale;0.9912;0.8962;0.9413;1.1792
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,08_scale;0.9918;0.8869;0.9364;1.2975
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,09_scale;0.9926;0.8787;0.9322;1.4162
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,1_scale;0.9935;0.8662;0.9255;1.5426
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,2_scale;0.9985;0.7786;0.8749;2.5893
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,3_scale;0.9992;0.6887;0.8154;3.7300
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,4_scale;0.9990;0.5937;0.7448;4.8121
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,5_scale;0.9994;0.4970;0.6639;5.8748
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,6_scale;0.9993;0.3785;0.5490;6.9047
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,7_scale;0.9990;0.2935;0.4536;7.7308
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,8_scale;1.0000;0.1894;0.3185;8.6945
Beverage_DistilBERTML_1763_5290_OCSVM_RBF_0,9_scale;1.0000;0.0936;0.1711;9.6433
