Parametros;Precisao;Revocacao;F1-Score;Tempo
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9798;0.9347;0.9568;0.5493
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9792;0.9405;0.9594;0.7230
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9789;0.9405;0.9593;0.7591
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9792;0.9407;0.9596;0.8104
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9792;0.9407;0.9596;0.8277
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9789;0.9390;0.9585;0.8928
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9801;0.9345;0.9567;0.9951
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9823;0.9305;0.9557;1.0720
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9842;0.9210;0.9516;1.1928
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9849;0.9123;0.9472;1.3100
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9856;0.9055;0.9438;1.4265
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9868;0.8958;0.9391;1.5508
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9875;0.8865;0.9343;1.6930
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9879;0.8788;0.9301;1.8726
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9929;0.7648;0.8640;3.2443
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9950;0.6532;0.7887;4.7712
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9973;0.5593;0.7166;6.1376
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9995;0.4632;0.6331;7.5718
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9993;0.3762;0.5467;8.7619
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9991;0.2928;0.4528;9.9548
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9987;0.1995;0.3326;11.1587
Birthday_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0932;0.1706;12.2385
