Parametros;Precisao;Revocacao;F1-Score;Tempo
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9345;0.9018;0.9178;0.7044
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9336;0.9097;0.9215;0.9143
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9338;0.9097;0.9216;0.9725
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9338;0.9100;0.9218;1.0091
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9338;0.9103;0.9219;1.0160
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9342;0.9093;0.9216;1.0643
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9353;0.9073;0.9211;1.1103
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9393;0.9018;0.9202;1.2069
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9440;0.8928;0.9176;1.3540
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9479;0.8825;0.9140;1.5421
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9515;0.8735;0.9108;1.6636
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9547;0.8635;0.9068;1.7864
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9561;0.8550;0.9027;1.8853
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9571;0.8480;0.8993;2.0716
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9678;0.7510;0.8457;3.4811
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9756;0.6597;0.7872;4.8585
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9792;0.5765;0.7257;6.2005
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9821;0.4813;0.6460;7.4330
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9836;0.3887;0.5572;8.7254
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9873;0.2925;0.4513;9.9788
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9924;0.1955;0.3266;11.1045
Design_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0897;0.1647;12.4448
