Parametros;Precisao;Revocacao;F1-Score;Tempo
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9630;0.9165;0.9392;0.6702
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9629;0.9223;0.9422;0.8476
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9629;0.9225;0.9423;0.8728
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9629;0.9225;0.9423;0.9066
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9630;0.9227;0.9424;0.9173
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9647;0.9217;0.9427;0.9437
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9671;0.9197;0.9428;1.0210
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9688;0.9093;0.9381;1.1046
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9701;0.9012;0.9344;1.1939
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9730;0.8932;0.9314;1.3031
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9755;0.8858;0.9285;1.4165
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9765;0.8745;0.9227;1.5708
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9773;0.8608;0.9153;1.7248
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9790;0.8500;0.9099;1.9068
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9890;0.7448;0.8497;3.3787
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9908;0.6478;0.7834;4.8239
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9936;0.5433;0.7024;6.1969
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9934;0.4532;0.6225;7.4544
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9931;0.3615;0.5301;8.7288
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9947;0.2812;0.4385;10.0238
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9974;0.1913;0.3210;11.4105
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.1163;0.2083;12.3350
