Parametros;Precisao;Revocacao;F1-Score;Tempo
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9427;0.9180;0.9302;0.6051
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9425;0.9220;0.9321;0.7279
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9423;0.9220;0.9320;0.7376
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9423;0.9220;0.9320;0.7860
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9423;0.9220;0.9320;0.7957
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9424;0.9207;0.9315;0.8301
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9441;0.9170;0.9304;0.9080
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9486;0.9083;0.9280;1.0152
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9534;0.8992;0.9255;1.1722
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9552;0.8902;0.9216;1.2428
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9568;0.8810;0.9173;1.3997
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9599;0.8670;0.9111;1.5341
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9615;0.8550;0.9051;1.6267
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9646;0.8390;0.8974;1.7381
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9742;0.7165;0.8257;3.2553
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9833;0.5875;0.7355;4.6539
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9878;0.4660;0.6333;5.9647
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9896;0.3578;0.5255;7.3479
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9900;0.2467;0.3950;8.6383
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9920;0.1555;0.2689;9.9361
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9970;0.0843;0.1554;11.1618
Judge_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0283;0.0549;12.5505
