Parametros;Precisao;Revocacao;F1-Score;Tempo
People_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.7025;0.8830;0.7825;0.8086
People_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.6913;0.8992;0.7817;1.1553
People_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.6917;0.8998;0.7821;1.2214
People_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.6915;0.8995;0.7819;1.2676
People_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.6917;0.8995;0.7820;1.2900
People_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.6917;0.8995;0.7820;1.3114
People_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.6922;0.8990;0.7822;1.3329
People_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.6927;0.8978;0.7820;1.4104
People_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.6946;0.8915;0.7808;1.4575
People_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.6988;0.8850;0.7809;1.5611
People_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.7024;0.8740;0.7789;1.6827
People_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.7063;0.8650;0.7776;1.7862
People_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.7106;0.8552;0.7763;1.9500
People_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.7135;0.8475;0.7748;2.0815
People_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.7513;0.7612;0.7562;3.4338
People_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.7849;0.6570;0.7153;4.7895
People_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.8108;0.5583;0.6612;6.2263
People_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.8431;0.4607;0.5959;7.5800
People_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.8657;0.3738;0.5221;8.8734
People_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.8941;0.2955;0.4442;9.9978
People_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9233;0.2077;0.3392;11.1538
People_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9384;0.1027;0.1852;12.2638
