Parametros;Precisao;Revocacao;F1-Score;Tempo
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.8752;0.9115;0.8930;0.7337
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.8677;0.9215;0.8938;0.9234
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.8681;0.9213;0.8939;0.9507
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.8675;0.9213;0.8935;0.9729
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.8677;0.9215;0.8938;0.9940
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.8678;0.9205;0.8934;1.0290
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.8705;0.9177;0.8935;1.0678
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.8767;0.9105;0.8933;1.2224
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.8839;0.9042;0.8940;1.3303
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.8904;0.9000;0.8952;1.4827
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.8962;0.8940;0.8951;1.6154
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.8999;0.8880;0.8939;1.7541
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9044;0.8825;0.8933;1.8853
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9108;0.8752;0.8927;2.0408
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9497;0.7792;0.8561;3.4255
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9724;0.6685;0.7923;4.7418
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9861;0.5657;0.7190;6.1138
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9917;0.4778;0.6448;7.4605
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9944;0.3962;0.5667;8.7479
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9976;0.3100;0.4730;9.9701
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9988;0.1998;0.3329;11.1611
Plant_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0922;0.1689;12.2558
