Parametros;Precisao;Revocacao;F1-Score;Tempo
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9862;0.9267;0.9555;0.5354
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9857;0.9297;0.9569;0.6162
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9854;0.9303;0.9570;0.6496
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9857;0.9310;0.9576;0.7243
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9857;0.9310;0.9576;0.7491
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9865;0.9293;0.9570;0.7890
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9882;0.9235;0.9548;0.8511
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9911;0.9167;0.9525;0.9896
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9924;0.9085;0.9486;1.1047
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9931;0.8965;0.9423;1.2199
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9935;0.8848;0.9360;1.3703
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9946;0.8755;0.9313;1.5454
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9945;0.8645;0.9250;1.6797
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9953;0.8555;0.9201;1.8892
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9990;0.7350;0.8469;3.2774
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9992;0.6058;0.7542;4.6679
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9995;0.4770;0.6458;6.0819
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9993;0.3683;0.5382;7.4428
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9991;0.2712;0.4267;8.7716
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;1.0000;0.1850;0.3122;9.9287
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.1197;0.2139;11.1410
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0480;0.0916;12.2686
