Parametros;Precisao;Revocacao;F1-Score;Tempo
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9569;0.9370;0.9468;0.5893
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9560;0.9447;0.9503;0.7692
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9560;0.9447;0.9503;0.7792
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9560;0.9450;0.9505;0.8095
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9560;0.9450;0.9505;0.8245
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9572;0.9450;0.9511;0.8537
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9592;0.9410;0.9500;0.9213
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9614;0.9335;0.9472;0.9879
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9648;0.9245;0.9442;1.1557
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9678;0.9170;0.9417;1.3190
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9698;0.9070;0.9373;1.4517
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9719;0.8998;0.9344;1.5779
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9755;0.8950;0.9335;1.6990
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9782;0.8860;0.9298;1.8346
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9863;0.8075;0.8880;3.2495
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9897;0.7195;0.8332;4.6795
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9902;0.6090;0.7542;6.1338
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9936;0.5032;0.6681;7.4367
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9944;0.3992;0.5697;8.6583
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9976;0.3093;0.4721;9.9394
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9988;0.2072;0.3433;11.1465
Voting_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0975;0.1777;12.2420
