Parametros;Precisao;Revocacao;F1-Score;Tempo
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9630;0.9487;0.9558;0.5776
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9626;0.9530;0.9578;0.7726
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9624;0.9530;0.9577;0.7936
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9626;0.9530;0.9578;0.8240
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9626;0.9533;0.9579;0.8379
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9629;0.9525;0.9576;0.8854
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9640;0.9505;0.9572;0.9985
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9664;0.9423;0.9542;0.9884
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9683;0.9330;0.9503;1.2190
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9693;0.9247;0.9465;1.3657
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9696;0.9160;0.9420;1.5292
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9707;0.9125;0.9407;1.6358
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9731;0.9050;0.9378;1.7481
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9742;0.8965;0.9337;1.9320
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9845;0.7950;0.8797;3.2600
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9901;0.7000;0.8202;4.7129
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9927;0.6160;0.7603;6.0448
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9958;0.5330;0.6943;7.3719
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9978;0.4492;0.6195;8.6799
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9979;0.3618;0.5310;9.9207
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9980;0.2480;0.3973;11.1218
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9959;0.1222;0.2178;12.3321
