Parametros;Precisao;Revocacao;F1-Score;Tempo
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9313;0.9083;0.9196;0.6785
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9262;0.9225;0.9243;1.0436
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9273;0.9220;0.9247;1.0308
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9266;0.9220;0.9243;1.0961
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9266;0.9217;0.9242;1.1094
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9274;0.9227;0.9251;1.1468
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9288;0.9190;0.9239;1.2227
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9306;0.9145;0.9225;1.3138
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9327;0.9080;0.9202;1.3899
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9350;0.9020;0.9182;1.5055
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9375;0.8960;0.9163;1.6737
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9390;0.8895;0.9136;1.7293
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9417;0.8798;0.9097;1.8719
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9434;0.8705;0.9055;1.9531
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9601;0.7817;0.8618;3.3950
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9720;0.6850;0.8036;4.8524
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9819;0.5847;0.7330;6.2533
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9827;0.4968;0.6599;7.4483
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9882;0.3757;0.5445;8.7637
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9918;0.2720;0.4269;9.9390
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9894;0.1860;0.3131;11.1988
Family_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9905;0.1037;0.1878;12.2802
