Parametros;Precisao;Revocacao;F1-Score;Tempo
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9619;0.9347;0.9481;0.6141
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9603;0.9380;0.9490;0.7585
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9603;0.9375;0.9488;0.7830
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9603;0.9383;0.9492;0.8278
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9603;0.9383;0.9492;0.8435
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9605;0.9373;0.9488;0.8947
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9616;0.9327;0.9470;0.9676
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9639;0.9277;0.9455;1.0382
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9674;0.9197;0.9430;1.1705
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9723;0.9113;0.9408;1.2983
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9751;0.9012;0.9367;1.4793
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9786;0.8930;0.9339;1.6054
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9803;0.8822;0.9287;1.7530
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9814;0.8720;0.9235;1.8581
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9893;0.7635;0.8619;3.2985
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9929;0.6623;0.7945;4.7108
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9963;0.5420;0.7021;6.1451
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9978;0.4495;0.6198;7.4974
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9986;0.3578;0.5268;8.7243
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;1.0000;0.2727;0.4286;10.0742
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.1913;0.3211;11.1164
Hospital_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.1017;0.1847;12.3425
