Parametros;Precisao;Revocacao;F1-Score;Tempo
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9471;0.8825;0.9137;0.6298
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9451;0.8858;0.9144;0.7925
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9446;0.8868;0.9148;0.8252
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9446;0.8872;0.9150;0.8845
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9446;0.8872;0.9150;0.8984
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9446;0.8870;0.9149;0.9156
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9445;0.8842;0.9134;0.9535
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9511;0.8712;0.9094;1.0550
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9562;0.8570;0.9039;1.1674
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9581;0.8400;0.8952;1.3866
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9617;0.8275;0.8895;1.4891
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9648;0.8075;0.8792;1.6005
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9673;0.7910;0.8703;1.7276
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9699;0.7732;0.8605;1.8710
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9805;0.6402;0.7747;3.3582
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9872;0.4998;0.6636;4.7705
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9920;0.3700;0.5390;6.2585
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9941;0.2520;0.4021;7.6271
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9960;0.1253;0.2225;8.8421
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;1.0000;0.0560;0.1061;10.0348
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.0262;0.0512;11.1880
Illness_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0090;0.0178;12.2733
