Parametros;Precisao;Revocacao;F1-Score;Tempo
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9012;0.9002;0.9007;0.6136
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.8969;0.9110;0.9039;0.8478
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.8964;0.9107;0.9035;0.8989
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.8960;0.9115;0.9037;0.9694
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.8960;0.9115;0.9037;0.9857
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.8967;0.9113;0.9039;1.0390
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9004;0.9065;0.9035;1.1002
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9064;0.9035;0.9050;1.1915
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9095;0.8970;0.9032;1.3267
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9127;0.8910;0.9017;1.4281
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9138;0.8830;0.8982;1.5157
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9168;0.8730;0.8944;1.6410
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9219;0.8645;0.8923;1.7884
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9247;0.8590;0.8906;1.9095
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9474;0.7752;0.8527;3.3254
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9583;0.6835;0.7979;4.7396
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9639;0.5942;0.7352;6.1221
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9684;0.4898;0.6505;7.4525
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9724;0.3790;0.5454;8.7912
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9716;0.2732;0.4265;9.9504
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9730;0.1715;0.2916;11.1348
Investigation_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9675;0.0745;0.1383;12.3147
