Parametros;Precisao;Revocacao;F1-Score;Tempo
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,0001_scale;0.8905;0.8952;0.8928;0.4935
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,0005_scale;0.8857;0.9059;0.8957;0.7201
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,001_scale;0.8859;0.9056;0.8957;0.7227
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,005_scale;0.8862;0.9059;0.8959;0.7765
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,01_scale;0.8862;0.9059;0.8959;0.8013
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,02_scale;0.8860;0.9046;0.8952;0.8235
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,03_scale;0.8889;0.8970;0.8929;0.8942
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,04_scale;0.8938;0.8907;0.8922;0.9990
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,05_scale;0.9003;0.8803;0.8902;1.1159
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,06_scale;0.9059;0.8735;0.8894;1.2263
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,07_scale;0.9106;0.8682;0.8889;1.3246
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,08_scale;0.9139;0.8601;0.8862;1.4488
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,09_scale;0.9185;0.8512;0.8836;1.5865
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,1_scale;0.9226;0.8413;0.8801;1.6796
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,2_scale;0.9514;0.7522;0.8401;3.0480
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,3_scale;0.9633;0.6729;0.7924;4.3479
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,4_scale;0.9781;0.5848;0.7320;5.6643
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,5_scale;0.9849;0.4761;0.6419;6.8823
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,6_scale;0.9897;0.3773;0.5463;8.0817
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,7_scale;0.9920;0.2925;0.4518;9.2671
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,8_scale;0.9959;0.1885;0.3170;10.4254
Kidnapping_DistilBERTML_1912_5737_OCSVM_RBF_0,9_scale;0.9917;0.0941;0.1719;11.5787
