Parametros;Precisao;Revocacao;F1-Score;Tempo
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9168;0.9397;0.9281;0.6148
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9109;0.9460;0.9281;0.8372
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9106;0.9467;0.9283;0.9123
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9101;0.9467;0.9281;0.9352
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9101;0.9467;0.9281;0.9471
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9103;0.9465;0.9281;0.9825
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9163;0.9440;0.9299;1.0524
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9223;0.9407;0.9314;1.1351
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9328;0.9365;0.9346;1.2402
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9396;0.9295;0.9345;1.3741
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9458;0.9243;0.9349;1.4590
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9520;0.9175;0.9344;1.5804
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9573;0.9133;0.9347;1.7484
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9621;0.9067;0.9336;1.8791
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9827;0.8225;0.8955;3.3198
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9902;0.7292;0.8399;4.7787
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9956;0.6250;0.7679;6.2251
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9986;0.5282;0.6910;7.5416
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9988;0.4280;0.5992;8.7962
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9984;0.3210;0.4858;10.4885
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.2235;0.3653;11.2283
Labour_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.1025;0.1859;12.4120
