Parametros;Precisao;Revocacao;F1-Score;Tempo
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9639;0.9210;0.9420;0.5769
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9639;0.9267;0.9449;0.7353
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9639;0.9270;0.9451;0.8217
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9636;0.9273;0.9451;0.8439
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9636;0.9273;0.9451;0.8478
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9641;0.9265;0.9449;0.8941
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9646;0.9207;0.9422;0.9695
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9664;0.9120;0.9384;1.0404
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9678;0.9022;0.9339;1.1942
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9702;0.8968;0.9321;1.2950
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9734;0.8882;0.9289;1.4313
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9741;0.8755;0.9222;1.6126
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9757;0.8632;0.9160;1.7374
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9765;0.8535;0.9109;1.8749
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9859;0.7532;0.8540;3.2549
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9895;0.6567;0.7895;4.7317
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9905;0.5460;0.7039;6.1804
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9926;0.4350;0.6049;7.4597
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9935;0.3455;0.5127;8.6948
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9921;0.2507;0.4003;9.9656
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9954;0.1635;0.2809;11.2242
Marriage_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9966;0.0732;0.1365;12.3250
