Parametros;Precisao;Revocacao;F1-Score;Tempo
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9852;0.8812;0.9303;0.4724
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9848;0.8882;0.9340;0.5812
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9848;0.8880;0.9339;0.6032
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9848;0.8880;0.9339;0.6333
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9853;0.8880;0.9341;0.6472
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9855;0.8832;0.9316;0.7326
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9867;0.8732;0.9265;0.8110
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9882;0.8600;0.9197;0.9596
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9892;0.8435;0.9105;1.0787
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9901;0.8275;0.9015;1.2278
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9906;0.8127;0.8929;1.4008
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9904;0.8003;0.8852;1.4977
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9902;0.7843;0.8753;1.6418
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9916;0.7692;0.8664;1.7533
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9943;0.6145;0.7596;3.3300
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9958;0.4768;0.6448;4.7327
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9958;0.3595;0.5283;6.1501
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9990;0.2565;0.4082;7.4658
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9985;0.1708;0.2916;8.6822
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9972;0.0902;0.1655;9.9374
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.0428;0.0820;11.0918
Medicare_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0077;0.0154;12.2272
