Parametros;Precisao;Revocacao;F1-Score;Tempo
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9909;0.9285;0.9587;0.4928
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9910;0.9325;0.9608;0.6642
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9910;0.9325;0.9608;0.6904
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9910;0.9325;0.9608;0.7214
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9910;0.9325;0.9608;0.7442
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9941;0.9263;0.9590;0.8102
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9946;0.9193;0.9554;0.9664
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9948;0.9085;0.9497;1.0774
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9956;0.9008;0.9458;1.1491
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9964;0.8905;0.9405;1.2885
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9966;0.8815;0.9355;1.4294
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9971;0.8722;0.9305;1.5324
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9977;0.8635;0.9258;1.7116
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9980;0.8555;0.9213;1.8652
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9984;0.7630;0.8650;3.3071
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9989;0.6573;0.7928;4.7472
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9991;0.5797;0.7337;6.1184
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9990;0.4878;0.6555;7.4316
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;1.0000;0.3940;0.5653;9.0252
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;1.0000;0.2883;0.4475;9.9362
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.1955;0.3271;11.1371
Pope_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0993;0.1806;12.2495
