Parametros;Precisao;Revocacao;F1-Score;Tempo
School_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9353;0.9183;0.9267;0.6905
School_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9328;0.9233;0.9280;0.9117
School_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9324;0.9237;0.9280;0.9393
School_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9324;0.9243;0.9283;1.0567
School_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9324;0.9243;0.9283;1.0089
School_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9324;0.9243;0.9283;1.0403
School_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9345;0.9235;0.9290;1.0890
School_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9371;0.9200;0.9285;1.1528
School_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9402;0.9153;0.9275;1.2784
School_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9422;0.9093;0.9254;1.4323
School_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9475;0.9018;0.9240;1.5419
School_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9518;0.8935;0.9217;1.6945
School_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9578;0.8862;0.9207;1.7634
School_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9606;0.8768;0.9167;1.9291
School_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9762;0.7895;0.8730;3.3500
School_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9825;0.7003;0.8177;4.7829
School_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9821;0.6050;0.7488;6.1864
School_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9849;0.5045;0.6672;7.5423
School_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9873;0.4078;0.5771;8.7564
School_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9881;0.3110;0.4731;9.9823
School_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9861;0.1958;0.3267;11.1385
School_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9910;0.0828;0.1527;12.2679
