Parametros;Precisao;Revocacao;F1-Score;Tempo
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,0001_scale;0.9513;0.7954;0.8664;0.4666
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,0005_scale;0.9502;0.8147;0.8773;0.6499
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,001_scale;0.9499;0.8142;0.8768;0.6778
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,005_scale;0.9499;0.8139;0.8766;0.7113
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,01_scale;0.9499;0.8142;0.8768;0.7199
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,02_scale;0.9524;0.8142;0.8779;0.7489
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,03_scale;0.9562;0.8068;0.8751;0.8004
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,04_scale;0.9594;0.7934;0.8685;0.9045
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,05_scale;0.9608;0.7806;0.8614;1.0086
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,06_scale;0.9623;0.7629;0.8511;1.1052
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,07_scale;0.9638;0.7496;0.8433;1.1743
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,08_scale;0.9653;0.7279;0.8300;1.3196
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,09_scale;0.9675;0.7126;0.8207;1.4244
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,1_scale;0.9690;0.6941;0.8088;1.5338
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,2_scale;0.9768;0.5393;0.6949;2.6306
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,3_scale;0.9788;0.3813;0.5488;3.7703
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,4_scale;0.9776;0.2738;0.4277;4.7938
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,5_scale;0.9818;0.1688;0.2880;5.8503
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,6_scale;0.9763;0.0820;0.1512;6.8084
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,7_scale;0.9851;0.0376;0.0724;7.7613
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,8_scale;1.0000;0.0088;0.0175;8.6725
Shareholder_DistilBERTML_1756_5270_OCSVM_RBF_0,9_scale;1.0000;0.0003;0.0006;9.5727
