Parametros;Precisao;Revocacao;F1-Score;Tempo
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,0001_scale;0.9903;0.9309;0.9597;0.5016
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,0005_scale;0.9893;0.9426;0.9654;0.7449
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,001_scale;0.9891;0.9431;0.9656;0.7667
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,005_scale;0.9891;0.9431;0.9656;0.7834
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,01_scale;0.9891;0.9431;0.9656;0.7976
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,02_scale;0.9906;0.9413;0.9654;0.8327
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,03_scale;0.9909;0.9363;0.9628;0.9160
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,04_scale;0.9916;0.9314;0.9606;1.0140
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,05_scale;0.9924;0.9279;0.9591;1.1712
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,06_scale;0.9926;0.9210;0.9555;1.2879
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,07_scale;0.9937;0.9142;0.9523;1.4551
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,08_scale;0.9939;0.9073;0.9486;1.5737
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,09_scale;0.9938;0.9020;0.9457;1.6761
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,1_scale;0.9938;0.8931;0.9408;1.8231
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,2_scale;0.9960;0.8118;0.8945;3.1677
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,3_scale;0.9982;0.7186;0.8357;4.5749
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,4_scale;0.9992;0.6371;0.7781;5.9281
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,5_scale;0.9995;0.5211;0.6850;7.2407
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,6_scale;0.9994;0.4317;0.6029;8.4184
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,7_scale;0.9992;0.3182;0.4827;9.6374
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,8_scale;0.9988;0.2174;0.3570;10.8514
Vaccines_DistilBERTML_1968_5906_OCSVM_RBF_0,9_scale;0.9976;0.1061;0.1919;11.9144
