Parametros;Precisao;Revocacao;F1-Score;Tempo
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9269;0.9103;0.9185;0.8276
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9251;0.9205;0.9228;1.1359
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9252;0.9210;0.9231;1.1836
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9251;0.9200;0.9225;1.2063
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9251;0.9203;0.9227;1.2315
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9251;0.9203;0.9227;1.2504
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9244;0.9197;0.9221;1.2837
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9261;0.9150;0.9205;1.3577
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9274;0.9100;0.9186;1.5029
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9313;0.9045;0.9177;1.6008
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9366;0.8972;0.9165;1.6804
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9441;0.8875;0.9149;1.9048
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9492;0.8790;0.9128;2.1081
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9516;0.8700;0.9090;2.2364
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9710;0.7953;0.8744;3.8586
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9829;0.7027;0.8195;5.5704
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9897;0.5998;0.7469;7.0114
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9946;0.5092;0.6736;8.5131
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9982;0.4180;0.5893;9.9500
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9992;0.3130;0.4767;11.3375
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9989;0.2188;0.3589;12.7403
Adults_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9979;0.1163;0.2082;13.8837
