Parametros;Precisao;Revocacao;F1-Score;Tempo
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9824;0.9230;0.9518;0.5860
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9808;0.9300;0.9547;0.7141
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9805;0.9300;0.9546;0.7467
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9805;0.9305;0.9548;0.7922
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9805;0.9307;0.9550;0.8179
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9822;0.9267;0.9537;0.8673
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9845;0.9240;0.9533;0.9949
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9860;0.9157;0.9496;1.1714
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9880;0.9077;0.9462;1.3067
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9884;0.8958;0.9398;1.5093
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9903;0.8890;0.9369;1.6934
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9916;0.8825;0.9339;1.7940
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9915;0.8742;0.9292;1.9345
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9923;0.8662;0.9250;2.0369
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9964;0.7695;0.8684;3.7235
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9978;0.6820;0.8102;5.3782
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9983;0.5753;0.7299;6.9416
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9985;0.4878;0.6554;8.3753
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9994;0.3947;0.5659;9.8153
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;1.0000;0.2908;0.4505;11.2327
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.2023;0.3365;12.5181
Divorce_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.1128;0.2027;13.7738
