Parametros;Precisao;Revocacao;F1-Score;Tempo
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9436;0.9293;0.9364;0.6258
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9429;0.9333;0.9381;0.7552
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9427;0.9335;0.9381;0.8145
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9427;0.9335;0.9381;0.8571
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9427;0.9335;0.9381;0.8699
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9448;0.9333;0.9390;0.9464
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9501;0.9283;0.9390;1.0327
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9537;0.9210;0.9370;1.2289
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9562;0.9163;0.9358;1.3880
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9594;0.9095;0.9338;1.5230
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9628;0.8995;0.9301;1.6449
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9666;0.8888;0.9260;1.7885
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9685;0.8758;0.9198;1.9417
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9703;0.8668;0.9156;2.1138
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9853;0.7690;0.8638;3.7042
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9922;0.6647;0.7961;5.2574
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9967;0.5360;0.6971;6.8172
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9983;0.4285;0.5996;8.3738
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9992;0.3262;0.4919;9.9585
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;1.0000;0.2188;0.3590;11.2918
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.1270;0.2254;12.5644
Drama_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0372;0.0718;13.6832
