Parametros;Precisao;Revocacao;F1-Score;Tempo
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9163;0.9137;0.9150;0.7419
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9114;0.9203;0.9158;0.9663
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9113;0.9200;0.9157;0.9744
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9111;0.9200;0.9155;1.0331
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9111;0.9200;0.9155;1.0489
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9118;0.9197;0.9157;1.0595
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9120;0.9173;0.9146;1.1501
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9143;0.9120;0.9131;1.2117
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9176;0.9075;0.9125;1.3225
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9230;0.8995;0.9111;1.4493
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9272;0.8888;0.9076;1.6037
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9329;0.8790;0.9051;1.7711
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9356;0.8688;0.9010;1.9811
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9384;0.8565;0.8956;2.0789
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9600;0.7560;0.8459;3.7171
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9726;0.6743;0.7964;5.2488
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9773;0.5800;0.7280;6.7573
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9847;0.5000;0.6632;8.3050
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9855;0.3912;0.5601;9.7777
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9910;0.3033;0.4644;11.1339
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9915;0.2050;0.3398;12.5577
Epidemic_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9953;0.1062;0.1920;14.0031
