Parametros;Precisao;Revocacao;F1-Score;Tempo
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9070;0.9018;0.9044;0.6677
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9037;0.9147;0.9092;0.8766
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9036;0.9143;0.9089;0.9431
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9037;0.9145;0.9090;0.9966
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9037;0.9145;0.9090;1.0117
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9040;0.9137;0.9089;1.0381
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9106;0.9040;0.9073;1.1181
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9206;0.8990;0.9097;1.3173
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9254;0.8902;0.9075;1.3876
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9314;0.8825;0.9063;1.6210
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9385;0.8742;0.9053;1.7299
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9444;0.8670;0.9041;1.8350
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9506;0.8560;0.9008;1.9651
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9541;0.8427;0.8950;2.1773
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9794;0.7378;0.8416;3.8449
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9858;0.6415;0.7772;5.3156
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9927;0.5445;0.7033;7.0581
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9962;0.4575;0.6270;8.5873
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9965;0.3555;0.5240;10.1893
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9991;0.2785;0.4356;11.3982
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.1860;0.3137;12.7419
Hunting_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0990;0.1802;13.9522
