Parametros;Precisao;Revocacao;F1-Score;Tempo
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9469;0.8915;0.9184;0.7111
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9445;0.9058;0.9247;1.0097
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9447;0.9058;0.9248;1.0461
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9447;0.9060;0.9250;1.0662
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9447;0.9055;0.9247;1.0860
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9465;0.9062;0.9259;1.1361
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9479;0.9045;0.9257;1.2050
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9491;0.9005;0.9242;1.2573
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9506;0.8945;0.9217;1.3617
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9530;0.8865;0.9185;1.5011
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9570;0.8795;0.9166;1.6180
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9595;0.8708;0.9130;1.7281
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9610;0.8570;0.9060;1.9251
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9636;0.8470;0.9015;2.0192
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9801;0.7372;0.8415;3.5727
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9858;0.6268;0.7663;5.1165
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9906;0.5265;0.6876;6.6196
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9920;0.4348;0.6046;8.2410
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9921;0.3473;0.5144;9.6082
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9910;0.2467;0.3951;11.1574
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9939;0.1640;0.2815;12.6502
Prices_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9943;0.0865;0.1592;13.7715
