Parametros;Precisao;Revocacao;F1-Score;Tempo
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,0001_scale;0.9546;0.8782;0.9148;0.4933
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,0005_scale;0.9531;0.8914;0.9212;0.6947
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,001_scale;0.9538;0.8920;0.9218;0.7182
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,005_scale;0.9538;0.8923;0.9220;0.7592
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,01_scale;0.9538;0.8923;0.9220;0.7558
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,02_scale;0.9538;0.8926;0.9222;0.7748
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,03_scale;0.9551;0.8878;0.9202;0.8018
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,04_scale;0.9580;0.8836;0.9193;0.8904
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,05_scale;0.9649;0.8745;0.9175;0.9879
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,06_scale;0.9674;0.8625;0.9119;1.0886
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,07_scale;0.9701;0.8484;0.9052;1.1791
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,08_scale;0.9716;0.8415;0.9019;1.2987
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,09_scale;0.9751;0.8340;0.8991;1.4131
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,1_scale;0.9765;0.8235;0.8935;1.5217
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,2_scale;0.9911;0.7002;0.8206;2.6163
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,3_scale;0.9929;0.5876;0.7383;3.7266
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,4_scale;0.9953;0.4493;0.6191;4.7678
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,5_scale;0.9965;0.3439;0.5114;5.8563
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,6_scale;0.9963;0.2440;0.3920;6.8769
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,7_scale;1.0000;0.1639;0.2816;7.8146
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,8_scale;1.0000;0.1071;0.1935;8.7749
Sailing_DistilBERTML_1665_4997_OCSVM_RBF_0,9_scale;1.0000;0.0438;0.0840;9.5294
