Parametros;Precisao;Revocacao;F1-Score;Tempo
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9588;0.9015;0.9293;0.6643
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9553;0.9140;0.9342;0.9182
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9551;0.9137;0.9339;0.9364
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9553;0.9135;0.9339;1.0136
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9553;0.9143;0.9343;0.9851
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9555;0.9123;0.9334;1.0565
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9573;0.9080;0.9320;1.1552
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9600;0.9000;0.9290;1.2469
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9623;0.8938;0.9268;1.3622
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9667;0.8858;0.9245;1.4597
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9697;0.8788;0.9220;1.5579
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9727;0.8645;0.9154;1.7412
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9757;0.8528;0.9101;1.9338
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9771;0.8433;0.9053;2.1268
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9903;0.7150;0.8304;3.8267
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9954;0.5887;0.7399;5.5348
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9969;0.4750;0.6434;7.0124
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9974;0.3855;0.5561;8.3847
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9992;0.2993;0.4606;9.7540
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9989;0.2177;0.3576;11.1077
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9981;0.1335;0.2355;12.3895
Unions_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0650;0.1221;13.5609
