Parameters;Precisao;Revocacao;F1-Score;Tempo
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5829;0.9954;0.7352;0.0043
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5820;0.9955;0.7346;0.0040
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5821;0.9955;0.7346;0.0039
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.6132;0.9896;0.7571;0.0071
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.6413;0.9836;0.7763;0.0099
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.6898;0.9697;0.8061;0.0162
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.7112;0.9576;0.8161;0.0228
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.7284;0.9460;0.8230;0.0291
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.7466;0.9349;0.8301;0.0344
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.7609;0.9246;0.8348;0.0433
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.7743;0.9128;0.8379;0.0479
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.7889;0.9010;0.8412;0.0530
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.7997;0.8885;0.8417;0.0607
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.8085;0.8769;0.8413;0.0720
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.8612;0.7675;0.8116;0.1277
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.8847;0.6612;0.7568;0.1905
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.8981;0.5620;0.6913;0.2476
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9055;0.4671;0.6163;0.3051
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9104;0.3692;0.5254;0.3722
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9160;0.2753;0.4233;0.4193
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9201;0.1858;0.3090;0.4632
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9216;0.0909;0.1655;0.4979
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5714;0.9955;0.7260;0.0045
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5715;0.9954;0.7260;0.0046
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.5716;0.9954;0.7260;0.0046
