Parameters;Precisao;Revocacao;F1-Score;Tempo
Animal_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7536;0.9982;0.8524;0.0055
Animal_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7535;0.9984;0.8524;0.0046
Animal_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7535;0.9984;0.8524;0.0047
Animal_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8791;0.9936;0.9318;0.0081
Animal_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9591;0.9852;0.9718;0.0101
Animal_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9783;0.9707;0.9745;0.0169
Animal_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9827;0.9595;0.9709;0.0238
Animal_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9855;0.9488;0.9668;0.0296
Animal_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9874;0.9363;0.9612;0.0353
Animal_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9882;0.9263;0.9562;0.0460
Animal_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9889;0.9154;0.9507;0.0488
Animal_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9895;0.9042;0.9449;0.0528
Animal_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9901;0.8926;0.9388;0.0614
Animal_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9903;0.8795;0.9316;0.0711
Animal_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9922;0.7676;0.8655;0.1247
Animal_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9933;0.6676;0.7985;0.1868
Animal_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9938;0.5674;0.7223;0.2456
Animal_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9946;0.4684;0.6369;0.2992
Animal_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9947;0.3769;0.5466;0.3641
Animal_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9946;0.2818;0.4391;0.4149
Animal_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9942;0.1903;0.3193;0.4529
Animal_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9931;0.0940;0.1716;0.4866
Animal_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.8479;0.9985;0.9161;0.0043
Animal_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.8471;0.9990;0.9159;0.0037
Animal_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.8469;0.9991;0.9158;0.0040
Animal_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9393;0.9953;0.9663;0.0070
Animal_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9803;0.9854;0.9828;0.0103
Animal_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9863;0.9700;0.9781;0.0170
Animal_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9881;0.9586;0.9731;0.0233
Animal_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9896;0.9471;0.9678;0.0282
Animal_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9901;0.9367;0.9627;0.0357
Animal_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9909;0.9244;0.9565;0.0434
Animal_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9915;0.9118;0.9500;0.0487
Animal_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9918;0.9007;0.9441;0.0531
Animal_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9921;0.8894;0.9380;0.0594
Animal_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9922;0.8776;0.9314;0.0680
Animal_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9937;0.7631;0.8633;0.1267
Animal_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9943;0.6625;0.7951;0.1864
Animal_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9949;0.5633;0.7193;0.2419
Animal_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9948;0.4732;0.6412;0.3008
Animal_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9947;0.3734;0.5429;0.3706
Animal_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9954;0.2802;0.4372;0.4154
Animal_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9953;0.1847;0.3115;0.4592
Animal_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9952;0.0926;0.1694;0.4887
Animal_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5932;0.9981;0.7397;0.0047
Animal_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5918;0.9981;0.7389;0.0045
Animal_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5917;0.9982;0.7389;0.0044
Animal_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.7651;0.9926;0.8623;0.0069
Animal_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9552;0.9839;0.9693;0.0108
Animal_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9784;0.9667;0.9725;0.0168
Animal_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9826;0.9550;0.9686;0.0223
Animal_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9845;0.9424;0.9630;0.0298
Animal_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9858;0.9300;0.9570;0.0337
Animal_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9866;0.9159;0.9499;0.0431
Animal_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9874;0.9022;0.9428;0.0487
Animal_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9880;0.8875;0.9350;0.0525
Animal_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9885;0.8764;0.9290;0.0592
Animal_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9890;0.8631;0.9217;0.0704
Animal_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9918;0.7597;0.8603;0.1270
Animal_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9925;0.6662;0.7972;0.1875
Animal_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9929;0.5734;0.7269;0.2465
Animal_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9935;0.4776;0.6450;0.3017
Animal_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9940;0.3834;0.5533;0.3667
Animal_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9941;0.2898;0.4486;0.4179
Animal_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9944;0.1952;0.3263;0.4630
Animal_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9932;0.0961;0.1752;0.4926
Animal_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.6517;0.9981;0.7842;0.0047
Animal_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.6511;0.9984;0.7839;0.0045
Animal_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.6517;0.9985;0.7844;0.0044
Animal_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.8364;0.9934;0.9066;0.0071
Animal_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9546;0.9851;0.9693;0.0101
Animal_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9795;0.9705;0.9750;0.0163
Animal_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9840;0.9587;0.9712;0.0232
Animal_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9855;0.9467;0.9657;0.0299
Animal_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9865;0.9341;0.9596;0.0352
Animal_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9879;0.9224;0.9540;0.0445
Animal_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9886;0.9103;0.9478;0.0476
Animal_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9894;0.8973;0.9411;0.0521
Animal_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9897;0.8847;0.9342;0.0585
Animal_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9900;0.8731;0.9279;0.0685
Animal_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9923;0.7653;0.8642;0.1266
Animal_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9932;0.6700;0.8002;0.1843
Animal_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9937;0.5743;0.7279;0.2414
Animal_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9940;0.4776;0.6451;0.2969
