Parameters;Precisao;Revocacao;F1-Score;Tempo
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6182;0.9980;0.7626;0.0046
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6179;0.9982;0.7624;0.0040
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6178;0.9982;0.7623;0.0044
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.6906;0.9938;0.8135;0.0072
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7461;0.9896;0.8499;0.0101
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8462;0.9800;0.9075;0.0182
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8993;0.9668;0.9316;0.0228
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9239;0.9546;0.9389;0.0284
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9389;0.9394;0.9391;0.0341
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9487;0.9261;0.9373;0.0446
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9541;0.9148;0.9340;0.0476
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9596;0.9025;0.9302;0.0532
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9634;0.8901;0.9253;0.0598
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9663;0.8796;0.9210;0.0729
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9785;0.7753;0.8651;0.1252
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9824;0.6723;0.7983;0.1893
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9850;0.5726;0.7242;0.2453
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9859;0.4819;0.6472;0.3026
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9868;0.3890;0.5579;0.3734
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9878;0.2967;0.4561;0.4226
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9891;0.2036;0.3375;0.4619
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9901;0.1107;0.1989;0.4930
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6341;0.9987;0.7745;0.0046
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6336;0.9989;0.7742;0.0043
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6336;0.9989;0.7742;0.0045
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.7201;0.9948;0.8322;0.0070
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.7920;0.9885;0.8755;0.0099
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.8576;0.9760;0.9100;0.0171
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.8897;0.9626;0.9223;0.0219
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9068;0.9499;0.9259;0.0290
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9186;0.9396;0.9271;0.0347
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9282;0.9266;0.9258;0.0428
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9343;0.9148;0.9228;0.0483
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9401;0.9021;0.9193;0.0529
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9451;0.8898;0.9154;0.0590
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9484;0.8786;0.9111;0.0686
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9669;0.7766;0.8607;0.1265
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9745;0.6773;0.7984;0.1874
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9793;0.5779;0.7260;0.2420
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9823;0.4876;0.6506;0.3029
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9843;0.3913;0.5591;0.3669
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9861;0.2886;0.4456;0.4185
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9875;0.1974;0.3285;0.4538
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9899;0.1018;0.1844;0.4907
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5928;0.9710;0.7323;0.0055
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5892;0.9928;0.7386;0.0054
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5878;0.9893;0.7365;0.0057
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.6160;0.9914;0.7593;0.0082
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.7208;0.9888;0.8334;0.0114
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.8170;0.9824;0.8918;0.0170
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.8761;0.9737;0.9221;0.0233
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9114;0.9632;0.9364;0.0308
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9350;0.9460;0.9404;0.0356
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9463;0.9319;0.9389;0.0472
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9526;0.9199;0.9359;0.0486
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9587;0.9090;0.9331;0.0554
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9625;0.8974;0.9287;0.0599
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9650;0.8869;0.9242;0.0698
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9794;0.7817;0.8693;0.1284
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9829;0.6862;0.8079;0.1892
