Parameters;Precisao;Revocacao;F1-Score;Tempo
Assault_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5971;0.9983;0.7460;0.0050
Assault_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5979;0.9985;0.7466;0.0044
Assault_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5981;0.9985;0.7468;0.0047
Assault_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7568;0.9923;0.8577;0.0071
Assault_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8092;0.9831;0.8875;0.0106
Assault_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8567;0.9623;0.9063;0.0165
Assault_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8818;0.9430;0.9113;0.0221
Assault_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8987;0.9235;0.9109;0.0286
Assault_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9086;0.9088;0.9087;0.0341
Assault_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9165;0.8925;0.9043;0.0448
Assault_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9220;0.8802;0.9005;0.0490
Assault_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9263;0.8677;0.8960;0.0541
Assault_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9304;0.8542;0.8906;0.0607
Assault_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9343;0.8387;0.8839;0.0701
Assault_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9547;0.7123;0.8158;0.1259
Assault_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9622;0.6068;0.7441;0.1852
Assault_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9681;0.5090;0.6670;0.2423
Assault_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9714;0.4181;0.5844;0.2968
Assault_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9727;0.3317;0.4944;0.3654
Assault_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9733;0.2494;0.3968;0.4102
Assault_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9724;0.1695;0.2883;0.4559
Assault_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9745;0.0842;0.1549;0.4837
Assault_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6172;0.9979;0.7619;0.0048
Assault_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6178;0.9980;0.7623;0.0045
Assault_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6174;0.9979;0.7620;0.0050
Assault_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.7646;0.9908;0.8628;0.0071
Assault_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.8200;0.9780;0.8919;0.0102
Assault_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.8611;0.9573;0.9065;0.0166
Assault_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.8851;0.9379;0.9107;0.0242
Assault_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.8995;0.9203;0.9097;0.0293
Assault_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9087;0.9064;0.9075;0.0339
Assault_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9180;0.8895;0.9034;0.0437
Assault_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9253;0.8752;0.8995;0.0485
Assault_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9294;0.8613;0.8940;0.0537
Assault_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9336;0.8468;0.8880;0.0587
Assault_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9367;0.8333;0.8820;0.0689
Assault_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9527;0.7211;0.8207;0.1263
Assault_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9623;0.6081;0.7451;0.1862
Assault_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9660;0.5061;0.6640;0.2456
Assault_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9688;0.4193;0.5852;0.2962
Assault_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9709;0.3335;0.4964;0.3645
Assault_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9726;0.2497;0.3973;0.4153
Assault_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9744;0.1653;0.2825;0.4576
Assault_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9754;0.0815;0.1504;0.4858
Assault_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5622;0.9981;0.7190;0.0047
Assault_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5625;0.9984;0.7194;0.0046
Assault_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5635;0.9984;0.7201;0.0046
Assault_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.7285;0.9938;0.8401;0.0070
Assault_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.7994;0.9846;0.8823;0.0104
Assault_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.8497;0.9610;0.9018;0.0167
Assault_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.8685;0.9456;0.9052;0.0222
Assault_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.8837;0.9284;0.9055;0.0281
Assault_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.8940;0.9133;0.9035;0.0349
Assault_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9021;0.8984;0.9001;0.0445
Assault_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9085;0.8839;0.8959;0.0479
Assault_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9140;0.8692;0.8909;0.0530
Assault_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9193;0.8554;0.8861;0.0588
Assault_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9238;0.8437;0.8818;0.0701
Assault_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9469;0.7127;0.8132;0.1271
Assault_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9575;0.5972;0.7355;0.1852
Assault_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9637;0.5043;0.6619;0.2429
Assault_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9679;0.4185;0.5843;0.2955
Assault_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9705;0.3354;0.4984;0.3643
Assault_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9718;0.2544;0.4032;0.4131
Assault_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9708;0.1695;0.2885;0.4561
Assault_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9777;0.0822;0.1515;0.4897
Assault_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5889;0.9973;0.7397;0.0057
Assault_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5894;0.9977;0.7402;0.0052
Assault_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5893;0.9978;0.7401;0.0055
Assault_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.7350;0.9935;0.8443;0.0081
Assault_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.8014;0.9836;0.8830;0.0106
Assault_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.8479;0.9640;0.9021;0.0169
Assault_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.8735;0.9437;0.9070;0.0234
Assault_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.8895;0.9273;0.9079;0.0288
Assault_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9004;0.9112;0.9057;0.0354
Assault_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9085;0.8950;0.9016;0.0437
Assault_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9139;0.8810;0.8969;0.0477
Assault_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9191;0.8652;0.8912;0.0541
Assault_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9231;0.8540;0.8870;0.0604
Assault_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9270;0.8397;0.8810;0.0710
Assault_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9509;0.7108;0.8132;0.1268
Assault_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9609;0.5975;0.7367;0.1871
Assault_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9660;0.5054;0.6635;0.2442
Assault_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9698;0.4182;0.5843;0.2971
Assault_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.9722;0.3349;0.4982;0.3624
Assault_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.9743;0.2513;0.3995;0.4139
Assault_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.9741;0.1707;0.2904;0.4555
Assault_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.9753;0.0852;0.1566;0.4961
Assault_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.6033;0.9981;0.7510;0.0053
Assault_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6036;0.9979;0.7512;0.0054
Assault_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6038;0.9979;0.7513;0.0054
Assault_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7392;0.9932;0.8468;0.0076
Assault_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8061;0.9826;0.8853;0.0107
Assault_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.8556;0.9623;0.9056;0.0168
Assault_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.8752;0.9450;0.9085;0.0227
Assault_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.8906;0.9270;0.9083;0.0287
Assault_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9016;0.9103;0.9058;0.0359
Assault_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9098;0.8938;0.9016;0.0453
Assault_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9166;0.8794;0.8974;0.0491
Assault_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9222;0.8665;0.8933;0.0539
Assault_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9257;0.8547;0.8886;0.0600
Assault_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9294;0.8401;0.8823;0.0726
Assault_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9516;0.7212;0.8203;0.1280
Assault_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9610;0.6138;0.7489;0.1897
Assault_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9656;0.5141;0.6709;0.2443
Assault_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9697;0.4197;0.5857;0.2965
Assault_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9715;0.3348;0.4979;0.3636
Assault_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9709;0.2491;0.3964;0.4151
Assault_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9732;0.1651;0.2822;0.4525
Assault_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9748;0.0827;0.1524;0.4854
Assault_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.5428;0.9982;0.7029;0.0045
Assault_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.5398;0.9978;0.7005;0.0044
Assault_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.5397;0.9986;0.7005;0.0044
Assault_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.6775;0.9958;0.8062;0.0073
Assault_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.7658;0.9866;0.8616;0.0102
Assault_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.8245;0.9672;0.8899;0.0161
Assault_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.8438;0.9513;0.8941;0.0220
Assault_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.8574;0.9353;0.8944;0.0305
Assault_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.8689;0.9214;0.8942;0.0351
Assault_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.8797;0.9059;0.8924;0.0440
Assault_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.8871;0.8908;0.8888;0.0467
Assault_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.8940;0.8763;0.8849;0.0543
Assault_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.9007;0.8612;0.8804;0.0585
Assault_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.9054;0.8483;0.8757;0.0704
Assault_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.9319;0.7242;0.8148;0.1269
Assault_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.9460;0.6181;0.7476;0.1871
Assault_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.9550;0.5257;0.6780;0.2400
Assault_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.9602;0.4279;0.5919;0.2940
Assault_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.9632;0.3348;0.4968;0.3699
Assault_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;0.9650;0.2474;0.3938;0.4098
Assault_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;0.9688;0.1639;0.2803;0.4523
Assault_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;0.9699;0.0827;0.1524;0.4949
Assault_VAE_2000_6000_5_OCSVM_RBF_0,0001_scale;0.5405;0.9982;0.7012;0.0042
Assault_VAE_2000_6000_5_OCSVM_RBF_0,0005_scale;0.5409;0.9994;0.7018;0.0040
Assault_VAE_2000_6000_5_OCSVM_RBF_0,001_scale;0.5410;0.9994;0.7019;0.0040
Assault_VAE_2000_6000_5_OCSVM_RBF_0,005_scale;0.7144;0.9952;0.8317;0.0069
Assault_VAE_2000_6000_5_OCSVM_RBF_0,01_scale;0.8013;0.9840;0.8832;0.0099
Assault_VAE_2000_6000_5_OCSVM_RBF_0,02_scale;0.8446;0.9635;0.9001;0.0162
Assault_VAE_2000_6000_5_OCSVM_RBF_0,03_scale;0.8619;0.9452;0.9016;0.0216
Assault_VAE_2000_6000_5_OCSVM_RBF_0,04_scale;0.8762;0.9278;0.9012;0.0284
Assault_VAE_2000_6000_5_OCSVM_RBF_0,05_scale;0.8852;0.9136;0.8991;0.0339
Assault_VAE_2000_6000_5_OCSVM_RBF_0,06_scale;0.8931;0.8986;0.8959;0.0415
Assault_VAE_2000_6000_5_OCSVM_RBF_0,07_scale;0.9018;0.8819;0.8917;0.0496
