Parameters;F1-Score
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.9372
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.9413
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.9425
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9517
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9583
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9599
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9601
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9566
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9524
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9481
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9442
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9400
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9350
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9297
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.8739
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.8099
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.7379
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.6588
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.5708
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.4685
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.3411
Cafe_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.1892
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.9812
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.9813
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.9813
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9852
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9852
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9829
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9787
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9743
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9695
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9635
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9574
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9511
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9452
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9389
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.8763
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.8107
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.7377
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.6585
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.5592
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.4566
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.3284
Cafe_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.1791
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.9610
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.9610
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.9613
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.9713
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9733
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9795
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9800
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9770
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9713
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9662
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9604
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9544
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9476
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9422
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.8818
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.8164
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.7490
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.6663
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.5683
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.4602
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.3430
Cafe_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.1877
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.9733
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.9732
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.9732
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.9780
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9791
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9815
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9802
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9761
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9709
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9649
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9586
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9534
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9478
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9422
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.8843
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.8192
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.7492
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.6695
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.5704
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.4684
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.3389
Cafe_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.1841
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.9771
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.9774
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.9773
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9829
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9843
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9842
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9813
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9767
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9711
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9651
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9595
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9538
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9472
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9425
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.8815
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.8177
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.7478
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.6617
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.5644
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.4556
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.3258
Cafe_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.1779
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.7639
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.7664
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.7668
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.7806
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.8006
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.8743
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.9676
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.9768
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.9753
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.9710
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.9660
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.9600
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.9548
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.9483
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.8877
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.8267
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.7610
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.6729
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.5790
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;0.4653
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;0.3418
Cafe_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;0.1896
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,0001_scale;0.8877
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,0005_scale;0.8877
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,001_scale;0.8882
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,005_scale;0.9088
Cafe_VAE_2000_6000_5_OCSVM_RBF_0,01_scale;0.9181
