Parameters;F1-Score
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9004
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9024
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9027
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9026
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9026
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9026
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9009
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.8990
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.8987
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.8972
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.8946
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.8928
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.8891
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.8863
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.8486
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.8020
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.7389
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.6519
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.5549
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.4599
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.3404
Ceremony_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.1868
