Parameters;F1-Score
College_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9140
College_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9144
College_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9142
College_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9144
College_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9145
College_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9146
College_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9172
College_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9188
College_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9184
College_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9163
College_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9159
College_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9152
College_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9133
College_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9119
College_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.8776
College_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.8355
College_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.7781
College_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.6868
College_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.6018
College_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.4888
College_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.3671
College_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.2260
