Parameters;F1-Score
College_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7471
College_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7473
College_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7474
College_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7991
College_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8373
College_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9057
College_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9250
College_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9326
College_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9347
College_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9349
College_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9339
College_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9313
College_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9278
College_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9238
College_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.8733
College_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.8125
College_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.7407
College_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.6585
College_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.5658
College_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.4533
College_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.3253
College_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.1758
College_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7792
College_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7797
College_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7797
College_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.8483
College_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.8984
College_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9329
College_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9424
College_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9454
College_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9449
College_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9429
College_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9403
College_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9365
College_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9325
College_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9275
College_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.8726
College_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.8092
College_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.7343
College_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.6490
College_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.5569
College_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.4499
College_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.3229
College_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.1723
College_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.6947
College_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.6964
College_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.6964
College_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.7110
College_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.7540
College_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.8667
College_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9060
College_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9199
College_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9246
College_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9284
College_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9286
College_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9283
College_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9262
College_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9244
College_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.8829
College_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.8221
College_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.7510
College_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.6740
College_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.5752
College_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.4639
College_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.3360
College_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.1907
College_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.7159
College_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.7166
College_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.7167
College_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.7465
College_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.8079
College_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9011
College_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9276
College_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9332
College_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9357
College_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9363
College_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9353
College_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9332
College_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9309
College_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9278
College_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.8769
