Parameters;Precisao;Revocacao;F1-Score;Tempo
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7997;0.9970;0.8869;0.0042
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7992;0.9968;0.8866;0.0039
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7991;0.9969;0.8865;0.0038
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8676;0.9915;0.9252;0.0070
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9090;0.9836;0.9448;0.0101
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9529;0.9699;0.9613;0.0162
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9717;0.9538;0.9626;0.0222
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9787;0.9393;0.9586;0.0305
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9826;0.9279;0.9544;0.0341
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9855;0.9151;0.9489;0.0443
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9874;0.9031;0.9433;0.0490
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9887;0.8913;0.9374;0.0542
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9900;0.8812;0.9325;0.0606
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9912;0.8698;0.9265;0.0695
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9956;0.7537;0.8579;0.1275
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9965;0.6486;0.7857;0.1915
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9976;0.5420;0.7023;0.2457
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9978;0.4422;0.6127;0.3013
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9978;0.3467;0.5145;0.3651
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9977;0.2573;0.4091;0.4193
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9977;0.1711;0.2920;0.4566
Constitution_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9979;0.0820;0.1516;0.4950
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7989;0.9966;0.8851;0.0047
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7996;0.9966;0.8857;0.0049
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7997;0.9966;0.8857;0.0046
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.8598;0.9922;0.9204;0.0074
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9021;0.9856;0.9417;0.0104
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9498;0.9695;0.9594;0.0163
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9679;0.9540;0.9608;0.0228
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9750;0.9420;0.9581;0.0286
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9813;0.9293;0.9545;0.0345
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9843;0.9163;0.9490;0.0449
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9867;0.9021;0.9424;0.0507
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9887;0.8883;0.9357;0.0546
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9899;0.8757;0.9293;0.0597
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9909;0.8655;0.9239;0.0683
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9953;0.7566;0.8596;0.1310
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9968;0.6507;0.7873;0.1903
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9974;0.5513;0.7099;0.2498
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9973;0.4541;0.6240;0.2993
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9972;0.3594;0.5283;0.3663
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9974;0.2674;0.4216;0.4188
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9979;0.1776;0.3014;0.4567
Constitution_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9981;0.0891;0.1635;0.4895
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.6598;0.9969;0.7928;0.0048
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.6592;0.9969;0.7925;0.0047
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.6590;0.9968;0.7923;0.0047
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.7427;0.9925;0.8477;0.0078
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.8194;0.9849;0.8921;0.0107
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9113;0.9726;0.9398;0.0171
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9460;0.9606;0.9526;0.0233
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9607;0.9496;0.9547;0.0286
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9691;0.9396;0.9539;0.0346
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9740;0.9290;0.9508;0.0454
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9775;0.9190;0.9472;0.0491
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9803;0.9070;0.9420;0.0535
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9816;0.8947;0.9360;0.0593
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9841;0.8813;0.9297;0.0717
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9915;0.7710;0.8672;0.1285
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9946;0.6673;0.7987;0.1940
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9964;0.5642;0.7204;0.2507
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9969;0.4645;0.6335;0.3037
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9975;0.3630;0.5320;0.3691
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9972;0.2655;0.4191;0.4148
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9982;0.1732;0.2950;0.4600
Constitution_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9986;0.0863;0.1589;0.4963
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.7153;0.9970;0.8304;0.0043
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.7152;0.9970;0.8303;0.0042
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.7154;0.9970;0.8305;0.0042
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.7929;0.9930;0.8799;0.0069
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.8733;0.9842;0.9242;0.0098
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9414;0.9718;0.9562;0.0166
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9677;0.9590;0.9633;0.0225
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9779;0.9462;0.9618;0.0300
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9823;0.9366;0.9589;0.0346
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9852;0.9245;0.9539;0.0439
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9877;0.9125;0.9486;0.0485
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9890;0.9012;0.9430;0.0528
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9900;0.8914;0.9382;0.0589
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9914;0.8799;0.9323;0.0673
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9963;0.7668;0.8666;0.1273
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9974;0.6612;0.7952;0.1849
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9976;0.5604;0.7175;0.2473
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9978;0.4531;0.6230;0.3014
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.9979;0.3531;0.5214;0.3663
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.9981;0.2627;0.4157;0.4150
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.9983;0.1745;0.2968;0.4559
Constitution_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.9980;0.0875;0.1607;0.4946
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.7509;0.9960;0.8546;0.0047
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.7499;0.9960;0.8540;0.0046
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.7503;0.9960;0.8543;0.0045
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.8387;0.9910;0.9075;0.0075
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8726;0.9850;0.9245;0.0109
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9411;0.9722;0.9559;0.0169
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9651;0.9583;0.9615;0.0229
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9773;0.9480;0.9624;0.0284
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9819;0.9347;0.9577;0.0344
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9857;0.9209;0.9522;0.0439
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9880;0.9080;0.9463;0.0489
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9892;0.8982;0.9415;0.0542
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9908;0.8863;0.9356;0.0588
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9916;0.8751;0.9297;0.0687
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9960;0.7613;0.8630;0.1264
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9975;0.6573;0.7924;0.1892
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9978;0.5521;0.7108;0.2422
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9979;0.4480;0.6182;0.2988
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9980;0.3528;0.5212;0.3707
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9980;0.2638;0.4171;0.4149
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9977;0.1751;0.2978;0.4557
Constitution_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9974;0.0849;0.1565;0.4905
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.6084;0.9958;0.7531;0.0052
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.6080;0.9959;0.7530;0.0051
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.6076;0.9960;0.7528;0.0052
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.6699;0.9928;0.7983;0.0072
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.7806;0.9864;0.8701;0.0104
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.9041;0.9747;0.9376;0.0167
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.9411;0.9647;0.9525;0.0226
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.9620;0.9532;0.9574;0.0285
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.9707;0.9409;0.9555;0.0347
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.9780;0.9273;0.9519;0.0448
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.9826;0.9143;0.9471;0.0473
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.9860;0.9027;0.9424;0.0537
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.9878;0.8919;0.9373;0.0596
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.9892;0.8820;0.9325;0.0708
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.9952;0.7799;0.8745;0.1259
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.9969;0.6744;0.8044;0.1883
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.9975;0.5760;0.7301;0.2457
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.9979;0.4771;0.6451;0.2997
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.9980;0.3824;0.5524;0.3640
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;0.9980;0.2798;0.4365;0.4134
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;0.9980;0.1816;0.3069;0.4575
Constitution_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;0.9972;0.0892;0.1636;0.4921
Constitution_VAE_2000_6000_5_OCSVM_RBF_0,0001_scale;0.6033;0.9976;0.7506;0.0043
Constitution_VAE_2000_6000_5_OCSVM_RBF_0,0005_scale;0.6010;0.9979;0.7491;0.0046
Constitution_VAE_2000_6000_5_OCSVM_RBF_0,001_scale;0.6008;0.9979;0.7490;0.0045
Constitution_VAE_2000_6000_5_OCSVM_RBF_0,005_scale;0.6907;0.9935;0.8136;0.0074
Constitution_VAE_2000_6000_5_OCSVM_RBF_0,01_scale;0.8195;0.9863;0.8945;0.0100
Constitution_VAE_2000_6000_5_OCSVM_RBF_0,02_scale;0.9320;0.9741;0.9525;0.0164
Constitution_VAE_2000_6000_5_OCSVM_RBF_0,03_scale;0.9609;0.9636;0.9622;0.0221
Constitution_VAE_2000_6000_5_OCSVM_RBF_0,04_scale;0.9731;0.9533;0.9631;0.0296
Constitution_VAE_2000_6000_5_OCSVM_RBF_0,05_scale;0.9809;0.9430;0.9616;0.0347
Constitution_VAE_2000_6000_5_OCSVM_RBF_0,06_scale;0.9850;0.9315;0.9575;0.0453
Constitution_VAE_2000_6000_5_OCSVM_RBF_0,07_scale;0.9883;0.9186;0.9522;0.0478
Constitution_VAE_2000_6000_5_OCSVM_RBF_0,08_scale;0.9905;0.9069;0.9468;0.0529
Constitution_VAE_2000_6000_5_OCSVM_RBF_0,09_scale;0.9917;0.8941;0.9404;0.0599
Constitution_VAE_2000_6000_5_OCSVM_RBF_0,1_scale;0.9928;0.8820;0.9341;0.0691
Constitution_VAE_2000_6000_5_OCSVM_RBF_0,2_scale;0.9968;0.7758;0.8725;0.1291
