Parameters;Precisao;Revocacao;F1-Score;Tempo
Court_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6186;0.9986;0.7633;0.0047
Court_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6183;0.9985;0.7630;0.0043
Court_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6183;0.9986;0.7630;0.0042
Court_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7158;0.9942;0.8309;0.0069
Court_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7641;0.9888;0.8608;0.0101
Court_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8350;0.9744;0.8987;0.0162
Court_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8736;0.9605;0.9149;0.0224
Court_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8937;0.9480;0.9200;0.0287
Court_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9075;0.9347;0.9209;0.0348
Court_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9163;0.9230;0.9196;0.0449
Court_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9222;0.9130;0.9176;0.0484
Court_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9262;0.9018;0.9139;0.0526
Court_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9296;0.8917;0.9102;0.0588
Court_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9325;0.8798;0.9053;0.0703
Court_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9479;0.7703;0.8499;0.1261
Court_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9539;0.6663;0.7845;0.1887
Court_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9581;0.5579;0.7050;0.2429
Court_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9597;0.4569;0.6188;0.3022
Court_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9607;0.3663;0.5300;0.3660
Court_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9605;0.2789;0.4320;0.4189
Court_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9609;0.1874;0.3133;0.4589
Court_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9565;0.0929;0.1693;0.4881
Court_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6302;0.9978;0.7714;0.0053
Court_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6302;0.9977;0.7714;0.0050
Court_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6302;0.9977;0.7714;0.0050
Court_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.7278;0.9942;0.8394;0.0083
Court_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.7995;0.9870;0.8831;0.0105
Court_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.8587;0.9719;0.9116;0.0166
Court_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.8843;0.9598;0.9204;0.0227
Court_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.8988;0.9480;0.9226;0.0294
Court_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9083;0.9366;0.9222;0.0359
Court_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9164;0.9241;0.9202;0.0448
Court_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9223;0.9116;0.9169;0.0488
Court_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9272;0.9011;0.9139;0.0522
Court_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9318;0.8894;0.9100;0.0580
Court_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9341;0.8775;0.9049;0.0704
Court_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9518;0.7688;0.8505;0.1303
Court_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9573;0.6576;0.7796;0.1933
Court_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9602;0.5543;0.7027;0.2448
Court_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9618;0.4532;0.6160;0.3007
Court_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9630;0.3571;0.5209;0.3632
Court_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9626;0.2623;0.4121;0.4167
