Parameters;F1-Score
Culture_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7118
Culture_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7123
Culture_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7126
Culture_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7744
Culture_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8355
Culture_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8866
Culture_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9155
Culture_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9243
Culture_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9307
Culture_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9329
Culture_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9337
Culture_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9321
Culture_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9306
Culture_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9276
Culture_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.8798
Culture_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.8184
Culture_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.7483
Culture_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.6713
Culture_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.5799
Culture_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.4720
Culture_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.3498
Culture_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.1903
Culture_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7303
Culture_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7306
Culture_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7308
Culture_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.7845
Culture_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.8456
Culture_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9023
Culture_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9239
