Parameters;F1-Score
Dance_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.9203
Dance_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.9202
Dance_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.9202
Dance_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9433
Dance_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9566
Dance_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9684
Dance_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9708
Dance_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9684
Dance_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9641
Dance_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9590
Dance_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9528
Dance_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9462
Dance_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9407
Dance_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9341
Dance_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.8701
Dance_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.8023
Dance_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.7227
Dance_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.6431
Dance_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.5482
Dance_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.4368
Dance_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.3070
Dance_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.1637
Dance_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.9637
Dance_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.9638
Dance_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.9637
Dance_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9752
Dance_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9779
Dance_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9761
Dance_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9717
Dance_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9672
Dance_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9613
Dance_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9554
Dance_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9491
Dance_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9431
Dance_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9369
Dance_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9303
Dance_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.8664
Dance_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.7939
Dance_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.7204
Dance_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.6317
Dance_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.5287
Dance_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.4235
Dance_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.3042
Dance_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.1712
Dance_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.8208
Dance_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.8209
Dance_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.8209
Dance_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.8600
Dance_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.8821
Dance_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9323
Dance_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9650
Dance_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9697
Dance_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9664
Dance_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9620
Dance_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9569
Dance_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9509
Dance_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9457
Dance_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9399
Dance_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.8766
Dance_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.8069
Dance_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.7286
Dance_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.6407
Dance_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.5459
Dance_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.4385
Dance_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.3116
Dance_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.1722
Dance_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.9051
Dance_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.9058
Dance_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.9058
Dance_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.9278
Dance_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9466
Dance_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9615
Dance_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9694
Dance_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9672
Dance_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9633
Dance_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9588
Dance_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9531
Dance_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9467
Dance_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9412
Dance_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9359
Dance_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.8732
Dance_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.8042
Dance_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.7265
Dance_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.6395
Dance_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.5411
Dance_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.4353
Dance_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.3120
Dance_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.1701
Dance_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.9166
Dance_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.9166
Dance_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.9164
Dance_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9327
Dance_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9404
Dance_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9581
Dance_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9699
Dance_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9663
Dance_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9622
Dance_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9573
Dance_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9523
Dance_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9464
Dance_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9416
Dance_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9361
Dance_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.8739
Dance_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.8056
Dance_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.7309
Dance_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.6419
Dance_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.5448
Dance_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.4305
Dance_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.3109
Dance_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.1670
Dance_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.7182
