Parameters;Precisao;Revocacao;F1-Score;Tempo
Design_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.8771;0.9980;0.9335;0.0045
Design_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.8776;0.9980;0.9337;0.0039
Design_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.8776;0.9980;0.9337;0.0041
Design_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9342;0.9922;0.9623;0.0067
Design_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9509;0.9861;0.9682;0.0100
Design_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9630;0.9764;0.9696;0.0160
Design_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9703;0.9660;0.9681;0.0222
Design_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9743;0.9555;0.9648;0.0285
Design_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9768;0.9455;0.9609;0.0350
Design_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9785;0.9356;0.9565;0.0449
Design_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9799;0.9250;0.9516;0.0483
Design_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9812;0.9154;0.9472;0.0536
Design_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9824;0.9068;0.9430;0.0582
Design_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9833;0.8962;0.9378;0.0697
Design_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9885;0.8027;0.8860;0.1290
Design_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9911;0.7005;0.8208;0.1899
Design_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9924;0.6007;0.7483;0.2489
Design_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9926;0.5049;0.6692;0.2983
Design_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9934;0.4054;0.5758;0.3700
Design_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9941;0.3057;0.4676;0.4184
