Parameters;Precisao;Revocacao;F1-Score;Tempo
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9339;0.9400;0.9370;0.6901
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9312;0.9427;0.9369;0.8288
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9310;0.9435;0.9372;0.8765
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9310;0.9435;0.9372;0.9242
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9311;0.9433;0.9371;0.9420
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9310;0.9435;0.9372;0.9865
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9365;0.9405;0.9385;1.0822
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9430;0.9345;0.9387;1.2116
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9496;0.9260;0.9377;1.3192
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9560;0.9173;0.9362;1.5095
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9607;0.9075;0.9333;1.6516
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9651;0.8990;0.9309;1.8040
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9683;0.8882;0.9265;1.9562
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9716;0.8775;0.9221;2.1304
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9885;0.7735;0.8679;3.7682
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9948;0.6687;0.7998;5.3989
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9976;0.5777;0.7317;6.9868
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9988;0.4645;0.6341;8.5011
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9996;0.3520;0.5206;10.1417
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9998;0.2570;0.4089;11.5356
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9998;0.1568;0.2710;12.9297
Earnings_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0813;0.1503;14.3841
