Parameters;F1-Score
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9563
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9580
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9580
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9580
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9582
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9578
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9572
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9538
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9500
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9463
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9422
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9410
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9378
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9336
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.8801
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.8203
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.7602
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.6939
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.6190
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.5307
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.3972
Election_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.2178
