Parameters;F1-Score
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.8962
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9010
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9010
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9008
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9008
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9009
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9015
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9013
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.8991
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.8973
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.8937
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.8914
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.8888
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.8852
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.8411
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.7799
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.7184
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.6381
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.5451
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.4245
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.2917
Employee_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.1382
