Parameters;Precisao;Revocacao;F1-Score;Tempo
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9295;0.8988;0.9139;0.7705
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9272;0.9075;0.9173;0.9733
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9270;0.9075;0.9172;1.0179
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9269;0.9070;0.9168;1.0442
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9268;0.9067;0.9167;1.0607
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9282;0.9055;0.9167;1.1178
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9297;0.9032;0.9163;1.1707
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9354;0.8972;0.9159;1.3140
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9402;0.8888;0.9138;1.3922
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9450;0.8812;0.9120;1.5108
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9493;0.8722;0.9092;1.6637
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9527;0.8605;0.9043;1.8630
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9556;0.8490;0.8992;2.0610
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9593;0.8383;0.8947;2.2577
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9768;0.7305;0.8359;3.8907
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9823;0.6508;0.7829;5.5414
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9855;0.5533;0.7087;7.1710
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9876;0.4532;0.6213;8.6814
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9904;0.3595;0.5275;10.1330
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9933;0.2750;0.4308;11.5218
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9947;0.1865;0.3141;12.9390
Employment_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9963;0.0803;0.1485;14.3580
