Parameters;Precisao;Revocacao;F1-Score;Tempo
Farms_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.8138;0.9984;0.8964;0.0049
Farms_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.8138;0.9984;0.8964;0.0042
Farms_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.8137;0.9984;0.8964;0.0046
Farms_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9180;0.9943;0.9546;0.0070
Farms_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9386;0.9906;0.9638;0.0107
Farms_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9544;0.9828;0.9683;0.0168
Farms_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9619;0.9738;0.9677;0.0221
Farms_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9661;0.9650;0.9655;0.0280
Farms_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9696;0.9544;0.9619;0.0350
Farms_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9737;0.9453;0.9593;0.0485
Farms_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9758;0.9333;0.9540;0.0477
Farms_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9772;0.9232;0.9494;0.0551
Farms_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9783;0.9128;0.9444;0.0594
Farms_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9796;0.9027;0.9395;0.0698
Farms_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9852;0.7876;0.8754;0.1258
Farms_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9870;0.6862;0.8095;0.1841
Farms_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9882;0.5906;0.7392;0.2464
Farms_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9886;0.4939;0.6586;0.3023
Farms_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9893;0.3962;0.5657;0.3622
Farms_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9895;0.2968;0.4565;0.4172
Farms_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9901;0.1980;0.3298;0.4585
Farms_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9910;0.1016;0.1841;0.4879
Farms_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.8272;0.9987;0.9045;0.0040
Farms_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.8272;0.9987;0.9045;0.0038
Farms_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.8272;0.9987;0.9045;0.0039
Farms_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9172;0.9941;0.9539;0.0066
Farms_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9432;0.9885;0.9651;0.0100
Farms_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9583;0.9799;0.9688;0.0160
Farms_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9645;0.9712;0.9677;0.0235
Farms_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9681;0.9610;0.9644;0.0287
Farms_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9739;0.9493;0.9615;0.0341
Farms_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9764;0.9396;0.9576;0.0439
Farms_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9781;0.9272;0.9519;0.0483
Farms_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9795;0.9155;0.9464;0.0535
