Parameters;F1-Score
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9367
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9396
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9397
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9397
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9398
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9406
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9406
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9365
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9335
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9305
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9275
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9219
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9153
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9104
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.8494
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.7836
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.7025
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.6228
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.5304
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.4387
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.3210
Festival_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.2083
