Parameters;Precisao;Revocacao;F1-Score;Tempo
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,0001_scale;0.9858;0.8511;0.9135;0.4973
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,0005_scale;0.9851;0.8720;0.9251;0.7089
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,001_scale;0.9850;0.8720;0.9250;0.7443
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,005_scale;0.9850;0.8730;0.9256;0.7681
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,01_scale;0.9850;0.8730;0.9256;0.7785
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,02_scale;0.9850;0.8733;0.9258;0.8010
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,03_scale;0.9852;0.8694;0.9237;0.8481
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,04_scale;0.9856;0.8601;0.9186;0.9079
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,05_scale;0.9863;0.8540;0.9154;0.9976
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,06_scale;0.9874;0.8456;0.9110;1.0322
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,07_scale;0.9882;0.8369;0.9063;1.1183
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,08_scale;0.9887;0.8295;0.9021;1.2096
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,09_scale;0.9890;0.8198;0.8965;1.2925
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,1_scale;0.9893;0.8133;0.8927;1.3823
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,2_scale;0.9922;0.7153;0.8313;2.3491
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,3_scale;0.9989;0.5938;0.7448;3.3743
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,4_scale;0.9998;0.4684;0.6379;4.3158
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,5_scale;1.0000;0.3436;0.5115;5.2883
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,6_scale;1.0000;0.2447;0.3932;6.2274
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,7_scale;1.0000;0.1551;0.2685;7.0464
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,8_scale;1.0000;0.0838;0.1547;7.8857
Golf_DistilBERTML_1550_4652_OCSVM_RBF_0,9_scale;1.0000;0.0409;0.0787;8.7582
