Parameters;Precisao;Revocacao;F1-Score;Tempo
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.8935;0.9097;0.9015;0.7950
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.8877;0.9187;0.9030;1.0581
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.8873;0.9197;0.9033;1.1667
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.8873;0.9197;0.9032;1.2227
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.8872;0.9197;0.9032;1.2978
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.8874;0.9195;0.9032;1.2901
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.8896;0.9175;0.9033;1.4029
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.8918;0.9145;0.9030;1.4831
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.8936;0.9070;0.9002;1.6012
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.8959;0.8988;0.8973;1.7007
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.8993;0.8932;0.8962;1.8756
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9022;0.8862;0.8942;2.0388
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9045;0.8785;0.8913;2.1901
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9064;0.8708;0.8882;2.2942
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9313;0.7927;0.8565;3.9732
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9466;0.7063;0.8089;5.5805
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9592;0.6155;0.7498;7.1202
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9699;0.5138;0.6717;8.6790
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9787;0.4040;0.5719;10.2086
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9832;0.2975;0.4568;11.6614
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9873;0.1885;0.3165;13.0597
Government_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9909;0.0925;0.1692;14.3321
