Parameters;F1-Score
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7167
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7167
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7167
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8510
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8953
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9315
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9418
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9446
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9437
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9426
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9405
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9357
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9314
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9270
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.8730
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.8113
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.7406
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.6576
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.5628
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.4588
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.3300
Grocery_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.1866
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7366
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7357
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7357
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.8564
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.8938
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9278
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9359
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9382
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9388
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9376
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9343
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9309
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9269
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9219
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.8670
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.8073
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.7387
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.6585
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.5644
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.4522
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.3275
Grocery_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.1779
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.7030
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.7031
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.7031
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.8173
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.8795
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9209
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9356
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9448
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9462
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9459
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9442
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9406
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9380
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9334
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.8815
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.8160
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.7448
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.6637
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.5657
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.4510
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.3297
Grocery_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.1818
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.7129
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.7138
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.7139
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.8302
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.8771
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9238
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9414
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9470
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9481
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9460
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9433
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9398
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9356
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9314
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.8790
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.8149
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.7426
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.6592
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.5603
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.4545
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.3331
Grocery_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.1841
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.7024
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.7035
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.7035
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.8483
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8974
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9319
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9423
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9455
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9458
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9446
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9413
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9373
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9331
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9288
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.8748
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.8120
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.7420
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.6594
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.5680
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.4560
Grocery_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.3294
