Parameters;F1-Score
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7463
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7467
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7466
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7809
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8509
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9205
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9330
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9351
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9341
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9302
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9264
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9225
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9174
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9131
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.8505
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.7784
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.7013
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.6194
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.5310
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.4261
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.3060
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.1659
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7847
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7831
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7831
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.8281
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.8740
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9140
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9273
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9322
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9319
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9301
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9266
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9228
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9180
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9133
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.8530
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.7815
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.7025
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.6180
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.5266
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.4166
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.3026
Holiday_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.1610
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.6961
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.6958
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.6960
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.7085
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.8046
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9059
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9260
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9358
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9366
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9346
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9316
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9283
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9242
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9197
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.8627
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.7952
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.7169
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.6309
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.5377
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.4299
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.3089
Holiday_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.1684
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.7170
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.7257
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.7246
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.7411
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.8009
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.8659
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.8942
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9069
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9104
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9098
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9082
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9051
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9015
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.8984
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.8492
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.7860
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.7147
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.6297
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.5387
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.4359
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.3144
Holiday_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.1755
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.7367
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.7371
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.7372
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7653
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8403
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9100
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9339
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9381
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9376
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9347
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9309
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9259
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9221
