Parameters;Precisao;Revocacao;F1-Score;Tempo
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6054;0.9924;0.7467;0.0052
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6087;0.9951;0.7495;0.0050
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6096;0.9952;0.7502;0.0049
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9460;0.9838;0.9645;0.0072
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9631;0.9743;0.9686;0.0102
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9779;0.9509;0.9642;0.0164
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9830;0.9327;0.9572;0.0229
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9866;0.9147;0.9493;0.0289
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9890;0.8982;0.9413;0.0365
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9905;0.8831;0.9337;0.0452
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9915;0.8688;0.9261;0.0494
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9920;0.8573;0.9198;0.0537
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9925;0.8461;0.9134;0.0577
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9929;0.8354;0.9074;0.0704
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9949;0.7309;0.8427;0.1299
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9962;0.6325;0.7737;0.1898
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9969;0.5350;0.6962;0.2497
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9974;0.4369;0.6076;0.3007
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9976;0.3436;0.5110;0.3714
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9975;0.2554;0.4066;0.4122
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9979;0.1679;0.2872;0.4546
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9983;0.0861;0.1585;0.4965
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5706;0.9981;0.7248;0.0050
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5737;0.9981;0.7269;0.0044
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.5740;0.9981;0.7271;0.0043
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9490;0.9826;0.9654;0.0067
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9656;0.9720;0.9687;0.0100
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9796;0.9456;0.9622;0.0158
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9853;0.9260;0.9547;0.0219
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9879;0.9076;0.9460;0.0289
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9898;0.8929;0.9389;0.0339
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9908;0.8800;0.9322;0.0427
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9918;0.8688;0.9262;0.0481
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9922;0.8566;0.9194;0.0528
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9930;0.8459;0.9136;0.0593
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9933;0.8343;0.9069;0.0676
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9952;0.7261;0.8396;0.1284
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9962;0.6220;0.7658;0.1905
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9970;0.5272;0.6896;0.2443
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9975;0.4323;0.6031;0.2980
