Parameters;F1-Score
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.9592
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.9597
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.9597
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9769
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9793
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9780
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9743
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9702
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9659
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9606
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9558
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9503
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9446
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9385
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.8794
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.8147
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.7408
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.6591
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.5618
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.4556
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.3337
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.1779
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.9826
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.9825
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.9825
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9900
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9890
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9839
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9787
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9729
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9684
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9629
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9563
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9504
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9443
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9377
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.8750
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.8100
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.7397
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.6574
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.5625
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.4520
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.3213
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.1769
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.9504
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.9503
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.9504
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.9827
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9869
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9835
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9785
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9733
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9685
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9640
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9589
