Parameters;F1-Score
Investments_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.7277
Investments_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.7251
Investments_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.7253
Investments_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9295
Investments_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9755
Investments_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9777
Investments_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9725
Investments_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9673
Investments_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9606
Investments_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9554
Investments_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9503
Investments_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9439
Investments_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9389
Investments_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9327
Investments_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.8754
Investments_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.8093
Investments_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.7360
Investments_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.6557
Investments_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.5659
Investments_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.4609
Investments_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.3368
Investments_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.1826
Investments_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7867
Investments_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7861
Investments_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7858
Investments_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9474
Investments_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9777
Investments_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9759
Investments_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9708
Investments_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9638
Investments_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9581
Investments_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9521
Investments_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9462
Investments_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9405
Investments_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9351
Investments_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9293
Investments_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.8716
Investments_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.8039
Investments_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.7286
Investments_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.6441
Investments_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.5501
Investments_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.4499
Investments_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.3213
Investments_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.1805
Investments_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7591
Investments_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7591
Investments_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7590
Investments_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9362
Investments_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9797
Investments_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9768
Investments_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9713
Investments_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9653
Investments_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9585
Investments_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9520
