Parameters;F1-Score
Justice_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.7198
Justice_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.7198
Justice_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.7199
Justice_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9305
Justice_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9373
Justice_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9421
Justice_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9415
Justice_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9400
Justice_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9372
Justice_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9344
Justice_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9306
Justice_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9263
Justice_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9220
Justice_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9170
Justice_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.8638
Justice_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.8009
Justice_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.7289
Justice_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.6467
Justice_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.5617
Justice_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.4579
Justice_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.3393
Justice_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.1913
Justice_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7309
Justice_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7311
Justice_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7311
Justice_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9432
Justice_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9492
Justice_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9501
Justice_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9480
Justice_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9455
Justice_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9424
Justice_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9378
Justice_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9341
Justice_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9293
Justice_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9246
Justice_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9188
Justice_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.8605
Justice_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.7941
Justice_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.7186
Justice_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.6365
Justice_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.5491
Justice_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.4441
Justice_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.3152
Justice_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.1688
Justice_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7568
Justice_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7569
Justice_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7570
Justice_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9430
Justice_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9505
Justice_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9507
Justice_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9481
Justice_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9446
Justice_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9413
Justice_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9372
Justice_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9324
Justice_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9280
Justice_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9224
