Parameters;Precisao;Revocacao;F1-Score;Tempo
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.6264;0.9954;0.7627;0.0047
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6274;0.9977;0.7641;0.0046
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6275;0.9978;0.7643;0.0047
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9892;0.9934;0.9913;0.0072
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9961;0.9874;0.9917;0.0106
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9975;0.9756;0.9864;0.0178
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9979;0.9621;0.9797;0.0230
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9983;0.9487;0.9728;0.0304
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9984;0.9351;0.9657;0.0348
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9984;0.9213;0.9583;0.0437
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9985;0.9086;0.9514;0.0480
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9985;0.8961;0.9445;0.0539
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9985;0.8843;0.9379;0.0592
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9986;0.8719;0.9309;0.0716
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9990;0.7618;0.8643;0.1247
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9989;0.6491;0.7867;0.1870
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9988;0.5431;0.7033;0.2422
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9988;0.4467;0.6171;0.3018
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9989;0.3510;0.5191;0.3656
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9989;0.2624;0.4154;0.4181
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9988;0.1743;0.2967;0.4598
LGBTQ_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9982;0.0849;0.1563;0.4965
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6085;0.9992;0.7535;0.0047
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6081;0.9992;0.7533;0.0044
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6082;0.9992;0.7533;0.0042
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9916;0.9939;0.9928;0.0070
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9966;0.9875;0.9920;0.0103
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9976;0.9748;0.9861;0.0171
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9982;0.9585;0.9780;0.0224
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9984;0.9438;0.9704;0.0290
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9986;0.9304;0.9633;0.0340
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9987;0.9168;0.9560;0.0443
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9987;0.9034;0.9486;0.0485
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9987;0.8909;0.9417;0.0538
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9988;0.8772;0.9341;0.0593
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9988;0.8650;0.9271;0.0693
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9989;0.7453;0.8536;0.1291
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9990;0.6365;0.7775;0.1874
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9989;0.5304;0.6928;0.2438
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9990;0.4353;0.6063;0.2987
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9989;0.3368;0.5035;0.3691
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9987;0.2500;0.3995;0.4199
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9987;0.1652;0.2831;0.4569
LGBTQ_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9985;0.0819;0.1512;0.4969
LGBTQ_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6614;0.9981;0.7906;0.0044
LGBTQ_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6614;0.9983;0.7907;0.0044
LGBTQ_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6616;0.9983;0.7909;0.0045
LGBTQ_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9616;0.9929;0.9750;0.0071
LGBTQ_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9908;0.9880;0.9893;0.0099
LGBTQ_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9952;0.9736;0.9843;0.0163
LGBTQ_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9963;0.9605;0.9780;0.0224
LGBTQ_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9968;0.9476;0.9716;0.0290
LGBTQ_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9972;0.9348;0.9649;0.0341
LGBTQ_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9975;0.9212;0.9578;0.0458
LGBTQ_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9977;0.9084;0.9509;0.0481
LGBTQ_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9979;0.8943;0.9431;0.0532
