Parameters;Precisao;Revocacao;F1-Score;Tempo
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,0001_scale;0.5879;0.9979;0.7384;0.0048
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,0005_scale;0.5873;0.9981;0.7380;0.0038
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,001_scale;0.5877;0.9981;0.7383;0.0040
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,005_scale;0.7409;0.9961;0.8487;0.0055
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,01_scale;0.8615;0.9886;0.9202;0.0078
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,02_scale;0.9061;0.9744;0.9390;0.0121
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,03_scale;0.9218;0.9620;0.9414;0.0168
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,04_scale;0.9292;0.9515;0.9402;0.0204
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,05_scale;0.9345;0.9429;0.9386;0.0246
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,06_scale;0.9399;0.9321;0.9359;0.0294
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,07_scale;0.9439;0.9218;0.9326;0.0347
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,08_scale;0.9470;0.9117;0.9290;0.0407
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,09_scale;0.9489;0.9030;0.9253;0.0428
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,1_scale;0.9516;0.8924;0.9209;0.0465
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,2_scale;0.9638;0.7895;0.8679;0.0900
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,3_scale;0.9701;0.6925;0.8079;0.1320
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,4_scale;0.9728;0.5883;0.7328;0.1663
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,5_scale;0.9741;0.4907;0.6520;0.2107
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,6_scale;0.9747;0.3850;0.5515;0.2455
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,7_scale;0.9744;0.2881;0.4442;0.2851
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,8_scale;0.9748;0.1896;0.3171;0.3140
Massacre_VAE_1651_4954_8_OCSVM_RBF_0,9_scale;0.9760;0.0968;0.1759;0.3415
Massacre_VAE_1651_4954_9_OCSVM_RBF_0,0001_scale;0.6010;0.9992;0.7504;0.0040
Massacre_VAE_1651_4954_9_OCSVM_RBF_0,0005_scale;0.6012;0.9992;0.7506;0.0035
Massacre_VAE_1651_4954_9_OCSVM_RBF_0,001_scale;0.6012;0.9992;0.7505;0.0037
Massacre_VAE_1651_4954_9_OCSVM_RBF_0,005_scale;0.7476;0.9969;0.8541;0.0055
Massacre_VAE_1651_4954_9_OCSVM_RBF_0,01_scale;0.8741;0.9888;0.9279;0.0075
Massacre_VAE_1651_4954_9_OCSVM_RBF_0,02_scale;0.9189;0.9713;0.9444;0.0123
Massacre_VAE_1651_4954_9_OCSVM_RBF_0,03_scale;0.9315;0.9565;0.9439;0.0164
Massacre_VAE_1651_4954_9_OCSVM_RBF_0,04_scale;0.9383;0.9448;0.9416;0.0204
Massacre_VAE_1651_4954_9_OCSVM_RBF_0,05_scale;0.9437;0.9342;0.9389;0.0246
Massacre_VAE_1651_4954_9_OCSVM_RBF_0,06_scale;0.9467;0.9248;0.9356;0.0283
