Parameters;Precisao;Revocacao;F1-Score;Tempo
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9856;0.9107;0.9467;0.6901
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9852;0.9173;0.9500;0.8897
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9851;0.9170;0.9498;0.9067
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9852;0.9175;0.9501;0.9793
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9852;0.9175;0.9501;0.9937
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9875;0.9167;0.9508;1.0522
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9899;0.9117;0.9492;1.1476
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9913;0.9045;0.9459;1.3343
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9922;0.8995;0.9436;1.4776
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9927;0.8912;0.9392;1.6078
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9931;0.8825;0.9346;1.7324
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9933;0.8740;0.9298;1.8731
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9936;0.8668;0.9259;2.0492
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9939;0.8602;0.9223;2.2359
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9965;0.7642;0.8651;3.8493
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9976;0.6683;0.8004;5.4543
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9981;0.5790;0.7329;7.0744
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9982;0.4733;0.6421;8.6256
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9985;0.3575;0.5265;10.1501
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9986;0.2572;0.4091;11.5828
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9990;0.1690;0.2891;13.0368
Mortgage_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9991;0.0793;0.1469;14.4639
